value_text,x_distance,y_distance,euclidean_distance,horizontal_score,vertical_score,alignment_score,pattern_score,character_count,is_integer,is_valid
62,0.003660261631011963,0.03507930040359497,0.03526974386089466,0.6934846572631398,1.0,1,1,2,1,1
1,0.14614194631576538,0.04893970489501953,0.15411866593041756,0.0,1.0,0,1,1,1,0
63,0.0037505626678466797,0.06247881054878235,0.06259128124520284,0.6872506083210596,1.0,1,1,2,1,1
64,0.0036418139934539795,0.08989256620407104,0.0899663062925016,0.6947651533673186,1.0,1,1,2,1,1
2,0.14545363187789917,0.10376754403114319,0.17867417894236046,0.0,1.0,0,1,1,1,0
73,0.0036736726760864258,0.11733424663543701,0.1173917429142126,0.6925552452220785,1.0,1,1,2,1,1
65,0.003708451986312866,0.14484620094299316,0.14489366633415257,0.6901507695737629,1.0,1,1,2,1,1
3,0.14563724398612976,0.15865615010261536,0.21536476220881423,0.0,1.0,0,1,1,1,0
70,0.003711879253387451,0.17217540740966797,0.17221541442123256,0.6899142770013321,1.0,1,1,2,1,1
72,0.0036212801933288574,0.1994112730026245,0.19944415125735285,0.6961932359429646,1.0,1,1,2,1,1
4,0.14538893103599548,0.21377146244049072,0.25852694138471444,0.0,1.0,0,1,1,1,0
74,0.0037550628185272217,0.22709619998931885,0.22712724307392054,0.6869414047701323,1.0,1,1,2,1,1
68,0.002738773822784424,0.043835192918777466,0.04392066734783076,0.7604253111636479,1.0,1,1,2,1,1
1,0.12457625567913055,0.043991610407829285,0.13211549971637068,0.0,1.0,0,1,1,1,0
68,0.0027241408824920654,0.09873329102993011,0.09877086463704032,0.7615388515009215,1.0,1,1,2,1,1
1,0.12460111081600189,0.09886358678340912,0.1590579944808253,0.0,1.0,0,1,1,1,0
68,0.0027397572994232178,0.1534361094236374,0.1534605680463948,0.7603505287881365,1.0,1,1,2,1,1
2,0.12361244857311249,0.15349934995174408,0.1970839614931879,0.0,1.0,0,1,1,1,0
69,0.002789929509162903,0.20831944048404694,0.20833812178824226,0.756545236146951,1.0,1,1,2,1,1
2,0.12357290089130402,0.20835845172405243,0.2422467878828042,0.0,1.0,0,1,1,1,0
62,0.002728492021560669,0.26309190690517426,0.263106054943083,0.7612075674343979,1.0,1,1,2,1,1
3,0.12395469844341278,0.2632315903902054,0.29095641846426806,0.0,1.0,0,1,1,1,0
67,0.0028663575649261475,0.3178189545869827,0.31783187993096695,0.7507851476540048,1.0,1,1,2,1,1
